Campaign Type,Campaign,Campaign Daily Budget,Campaign Start Date,Campaign End Date,Campaign Targeting Type,Campaign Strategy,Ad Group,Max Bid,Keyword/ASIN,Match Type,SKU,State,Placement,Custom Label 1,Source,Notes
Auto,S2C_RAINBOW-2COMP-LB_Auto_Auto_RAINBOW_2COMP_LB,20.0,2025-10-25,,Auto,Legacy,Auto_RAINBOW-2COMP-LB,2.0,,,RAINBOW-2COMP-LB,enabled,,,user,auto harvest
Manual,S2C_RAINBOW-2COMP-LB_Manual_KW_RAINBOW_2COMP_LB_Exact,50.0,2025-10-25,,Manual,Legacy,KW_RAINBOW-2COMP-LB_Exact,3.0,S2C LittleZen Kids Bento Lunch Box,exact,RAINBOW-2COMP-LB,enabled,,seed,user,seed from title
Manual,S2C_RAINBOW-2COMP-LB_Manual_KW_RAINBOW_2COMP_LB_phrase,50.0,2025-10-25,,Manual,Legacy,KW_RAINBOW-2COMP-LB_phrase,2.25,kids' lunch boxes,phrase,RAINBOW-2COMP-LB,enabled,,cerebro,cerebro,seeded from Cerebro
Manual,S2C_RAINBOW-2COMP-LB_Manual_KW_RAINBOW_2COMP_LB_broad,50.0,2025-10-25,,Manual,Legacy,KW_RAINBOW-2COMP-LB_broad,1.6875,kids' lunch boxes,broad,RAINBOW-2COMP-LB,enabled,,cerebro,cerebro_broad,auto-generated broad from phrase
Manual,S2C_RAINBOW-2COMP-LB_Manual_KW_RAINBOW_2COMP_LB_phrase,50.0,2025-10-25,,Manual,Legacy,KW_RAINBOW-2COMP-LB_phrase,2.25,lunch box for toddlers,phrase,RAINBOW-2COMP-LB,enabled,,cerebro,cerebro,seeded from Cerebro
Manual,S2C_RAINBOW-2COMP-LB_Manual_KW_RAINBOW_2COMP_LB_broad,50.0,2025-10-25,,Manual,Legacy,KW_RAINBOW-2COMP-LB_broad,1.6875,lunch box for toddlers,broad,RAINBOW-2COMP-LB,enabled,,cerebro,cerebro_broad,auto-generated broad from phrase
Manual,S2C_RAINBOW-2COMP-LB_Manual_KW_RAINBOW_2COMP_LB_phrase,50.0,2025-10-25,,Manual,Legacy,KW_RAINBOW-2COMP-LB_phrase,2.25,lunch box toddler boy,phrase,RAINBOW-2COMP-LB,enabled,,cerebro,cerebro,seeded from Cerebro
Manual,S2C_RAINBOW-2COMP-LB_Manual_KW_RAINBOW_2COMP_LB_broad,50.0,2025-10-25,,Manual,Legacy,KW_RAINBOW-2COMP-LB_broad,1.6875,lunch box toddler boy,broad,RAINBOW-2COMP-LB,enabled,,cerebro,cerebro_broad,auto-generated broad from phrase
Manual,S2C_RAINBOW-2COMP-LB_Manual_KW_RAINBOW_2COMP_LB_phrase,50.0,2025-10-25,,Manual,Legacy,KW_RAINBOW-2COMP-LB_phrase,2.25,lunch box for kindergarten,phrase,RAINBOW-2COMP-LB,enabled,,cerebro,cerebro,seeded from Cerebro
Manual,S2C_RAINBOW-2COMP-LB_Manual_KW_RAINBOW_2COMP_LB_broad,50.0,2025-10-25,,Manual,Legacy,KW_RAINBOW-2COMP-LB_broad,1.6875,lunch box for kindergarten,broad,RAINBOW-2COMP-LB,enabled,,cerebro,cerebro_broad,auto-generated broad from phrase
Manual,S2C_RAINBOW-2COMP-LB_Manual_KW_RAINBOW_2COMP_LB_phrase,50.0,2025-10-25,,Manual,Legacy,KW_RAINBOW-2COMP-LB_phrase,2.25,lunch box kids boys,phrase,RAINBOW-2COMP-LB,enabled,,cerebro,cerebro,seeded from Cerebro
Manual,S2C_RAINBOW-2COMP-LB_Manual_KW_RAINBOW_2COMP_LB_broad,50.0,2025-10-25,,Manual,Legacy,KW_RAINBOW-2COMP-LB_broad,1.6875,lunch box kids boys,broad,RAINBOW-2COMP-LB,enabled,,cerebro,cerebro_broad,auto-generated broad from phrase
